RX_MMSI,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,ROT,SOG,Position_Accuracy,Longitude,Latitude,COG,True_Heading,Time_Stamp,Ship_and_Cargo_Type,Reference_Position_A,Reference_Position_B,Reference_Position_C,Reference_Position_D,Fixing_Device,ETA,MAX_Draught,Destination,DTE,Record_Time
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301102,24.067928,197.6,201,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:04
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301102,24.067928,197.6,201,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:03
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.300780,24.066995,198.2,202,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.300780,24.066995,198.2,202,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:24:35
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,127,6.7,1,120.299888,24.064610,199.4,203,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:54
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,127,6.7,1,120.299888,24.064610,199.4,203,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.300337,24.065798,198.5,203,16,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:13
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.8,1,120.300012,24.064937,200,203,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:43
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.8,1,120.300012,24.064937,200,203,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300450,24.066097,198.5,203,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:04
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300450,24.066097,198.5,203,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:03
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300103,24.065175,199.2,203,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.300103,24.065175,199.2,203,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:35
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.300238,24.065532,199,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.300238,24.065532,199,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:25:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299427,24.063425,199.7,203,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299427,24.063425,199.7,203,37,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:35
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299555,24.063752,199.1,203,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:23
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299182,24.062805,199.6,203,57,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299668,24.064047,199.2,203,15,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:13
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.7,1,120.299323,24.063160,199.4,203,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:43
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,127,6.7,1,120.299788,24.064343,199,203,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:03
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,127,6.7,1,120.299788,24.064343,199,203,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:26:04
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298972,24.062275,200.7,203,15,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:13
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298855,24.061982,200.3,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298855,24.061982,200.3,202,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299078,24.062538,199.5,203,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:03
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.299078,24.062538,199.5,203,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:04
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298727,24.061655,199.7,203,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298727,24.061655,199.7,203,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:35
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298617,24.061395,200.9,203,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298617,24.061395,200.9,203,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298488,24.061073,200.9,203,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:27:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298380,24.060808,200.2,203,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:04
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298123,24.060193,200.9,203,26,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:24
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298123,24.060193,200.9,203,26,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:24
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.7,1,120.297755,24.059315,201.4,203,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.298258,24.060515,200.8,203,16,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:13
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.297893,24.059633,201.1,204,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:28:43
